L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
2400323,177004,4556,3,13.00,14053.00,0.10,0.01,R,F,1995-04-29,1995-06-08,1995-05-26,COLLECT COD,FOB,packages arou
2400323,101357,8888,4,1.00,1358.35,0.02,0.03,N,F,1995-06-03,1995-05-22,1995-06-25,COLLECT COD,FOB,nic accounts in
2400323,97828,5356,5,17.00,31038.94,0.08,0.07,R,F,1995-04-18,1995-05-26,1995-05-07,TAKE BACK RETURN,FOB,xpress notornis nag slyly. slyly even depo
2400323,192049,4569,6,33.00,37654.32,0.07,0.08,N,F,1995-05-31,1995-04-24,1995-06-19,TAKE BACK RETURN,AIR,sleep. slyly ironic acco
2400324,22842,7847,1,12.00,21178.08,0.02,0.01,N,O,1997-01-12,1997-02-06,1997-02-09,TAKE BACK RETURN,TRUCK,es nag carefully express asymptotes. 
2400324,97157,7158,2,49.00,56553.35,0.02,0.08,N,O,1997-03-04,1997-02-17,1997-03-14,NONE,REG AIR, pearls use furiously. quickly unu
2400324,115086,7598,3,19.00,20920.52,0.00,0.01,N,O,1996-12-28,1997-01-03,1997-01-02,NONE,FOB,ies wake after the slyly final court
2400324,47734,239,4,13.00,21862.49,0.03,0.02,N,O,1997-03-14,1997-01-17,1997-03-22,TAKE BACK RETURN,FOB,uffily express ideas must have to wake qu
2400324,52207,2208,5,24.00,27820.80,0.00,0.01,N,O,1997-02-28,1997-02-07,1997-03-26,DELIVER IN PERSON,AIR,inst the slyly eve
2400324,40890,5899,6,43.00,78728.27,0.06,0.05,N,O,1996-12-25,1997-01-05,1997-01-05,DELIVER IN PERSON,MAIL,osits; slyly ironic deposits u
2400324,25516,3023,7,37.00,53335.87,0.00,0.00,N,O,1997-02-19,1997-01-11,1997-03-04,NONE,RAIL, cajole caref
2400325,45076,85,1,11.00,11231.77,0.01,0.03,A,F,1994-11-09,1994-12-13,1994-11-28,NONE,SHIP,round the quic
2400325,184607,2162,2,38.00,64280.80,0.10,0.05,A,F,1994-10-20,1994-12-04,1994-11-03,COLLECT COD,FOB,e carefully ironic accounts: quic
2400326,136913,1940,1,22.00,42898.02,0.09,0.02,N,O,1996-04-12,1996-02-07,1996-04-19,COLLECT COD,REG AIR,r pinto beans. carefully ev
2400326,88258,5783,2,31.00,38633.75,0.05,0.04,N,O,1996-02-13,1996-02-21,1996-03-01,DELIVER IN PERSON,RAIL,"uriously inside the final, spe"
2400327,36024,6025,1,48.00,46080.96,0.03,0.02,N,O,1996-08-21,1996-10-12,1996-09-11,DELIVER IN PERSON,MAIL,refully express platelets. final sheaves 
2400327,51520,4026,2,48.00,70632.96,0.08,0.06,N,O,1996-09-12,1996-10-29,1996-10-03,DELIVER IN PERSON,TRUCK,mong the blithely regular requests. pendin
2400327,92908,7927,3,45.00,85540.50,0.06,0.08,N,O,1996-10-13,1996-09-19,1996-11-11,COLLECT COD,FOB,ounts. regula
2400327,98972,8973,4,14.00,27593.58,0.08,0.00,N,O,1996-09-20,1996-11-02,1996-10-17,NONE,FOB,"ets. express, dogged packages a"
2400327,17739,7740,5,40.00,66269.20,0.06,0.02,N,O,1996-11-08,1996-10-19,1996-11-13,TAKE BACK RETURN,SHIP,es. ideas use furiously regular asymp
2400327,132921,5435,6,26.00,50801.92,0.01,0.06,N,O,1996-08-14,1996-09-09,1996-08-28,DELIVER IN PERSON,SHIP,es haggle furiously alongsi
2400327,400,401,7,35.00,45514.00,0.00,0.08,N,O,1996-09-27,1996-09-22,1996-09-29,TAKE BACK RETURN,TRUCK," regular, ironic reques"
2400352,113241,8264,1,28.00,35118.72,0.10,0.08,R,F,1993-07-09,1993-05-07,1993-07-15,COLLECT COD,REG AIR, final platelets. fluffily pendi
2400352,31612,1613,2,31.00,47851.91,0.03,0.05,A,F,1993-07-06,1993-06-18,1993-07-20,COLLECT COD,SHIP, unusual theodolites above
2400352,88430,5955,3,47.00,66666.21,0.08,0.04,A,F,1993-07-24,1993-06-20,1993-08-19,COLLECT COD,FOB,heodolites poach
2400352,40961,3466,4,5.00,9509.80,0.08,0.06,A,F,1993-07-24,1993-06-22,1993-08-22,COLLECT COD,TRUCK,ronic packages engage s
2400353,145918,8433,1,41.00,80520.31,0.07,0.04,N,O,1997-05-11,1997-04-28,1997-05-25,NONE,MAIL, quickly ironic packages h
2400353,36628,9132,2,43.00,67278.66,0.03,0.02,N,O,1997-03-22,1997-03-04,1997-03-24,NONE,AIR, furiously pending ideas caj
2400353,194737,9776,3,32.00,58615.36,0.10,0.04,N,O,1997-04-19,1997-03-21,1997-05-10,NONE,TRUCK,n accounts hinder. 
2400353,144013,9042,4,47.00,49679.47,0.08,0.03,N,O,1997-03-06,1997-03-18,1997-04-03,DELIVER IN PERSON,MAIL,"the silent, un"
2400353,20302,7809,5,2.00,2444.60,0.10,0.03,N,O,1997-06-02,1997-03-04,1997-06-11,NONE,SHIP,ing accounts
2400353,6866,6867,6,14.00,24820.04,0.08,0.01,N,O,1997-03-12,1997-03-29,1997-03-20,NONE,REG AIR, never quiet foxes. always re
2400354,93616,1144,1,50.00,80480.50,0.06,0.04,A,F,1993-04-09,1993-03-01,1993-05-05,DELIVER IN PERSON,RAIL,e quickly regul
2400354,194238,6758,2,5.00,6661.15,0.04,0.08,A,F,1993-03-09,1993-04-07,1993-03-18,COLLECT COD,AIR,ounts; slyly express instructions cajole id
2400354,149479,4508,3,12.00,18341.64,0.02,0.06,A,F,1993-04-24,1993-03-20,1993-05-19,TAKE BACK RETURN,FOB,ronic instructions use across the careful
2400354,88583,1092,4,32.00,50290.56,0.02,0.04,R,F,1993-02-11,1993-03-09,1993-02-20,TAKE BACK RETURN,AIR,ickly above the regular pack
2400354,9580,4581,5,31.00,46176.98,0.07,0.01,A,F,1993-04-12,1993-03-27,1993-04-19,DELIVER IN PERSON,TRUCK,t the pinto bea
2400354,199761,4800,6,38.00,70708.88,0.04,0.00,R,F,1993-01-30,1993-03-09,1993-02-16,TAKE BACK RETURN,MAIL,. quickly pending asymptotes use quick
2400355,3027,5528,1,21.00,19530.42,0.00,0.07,R,F,1993-09-07,1993-11-23,1993-09-19,COLLECT COD,SHIP,lites are blithely ca
2400355,72897,7912,2,1.00,1869.89,0.08,0.00,R,F,1993-11-10,1993-10-25,1993-12-03,DELIVER IN PERSON,FOB,kages alongside of the 
2400355,172956,508,3,36.00,73042.20,0.00,0.04,A,F,1993-11-20,1993-11-01,1993-12-11,DELIVER IN PERSON,RAIL,ress requests must cajole according 
2400355,66006,1019,4,40.00,38880.00,0.05,0.04,A,F,1993-10-23,1993-11-06,1993-10-29,DELIVER IN PERSON,SHIP,de of the furiously sil
2400355,151408,3924,5,23.00,33566.20,0.03,0.04,R,F,1993-09-21,1993-10-07,1993-09-22,DELIVER IN PERSON,REG AIR,special courts w
2400355,108275,786,6,42.00,53897.34,0.07,0.06,R,F,1993-09-30,1993-11-08,1993-10-15,DELIVER IN PERSON,AIR, the carefully express accounts! care
2400355,176130,8648,7,30.00,36183.90,0.05,0.05,A,F,1993-10-15,1993-11-09,1993-11-14,COLLECT COD,RAIL, even accounts. quickly regular re
2400356,325,7826,1,46.00,56364.72,0.09,0.01,N,O,1996-02-03,1996-04-03,1996-02-17,TAKE BACK RETURN,REG AIR,nts. slyly pending reques
2400356,58578,1084,2,39.00,59926.23,0.07,0.06,N,O,1996-01-16,1996-02-09,1996-02-07,NONE,RAIL,"c sauternes. ironic, fi"
2400356,119411,1923,3,23.00,32899.43,0.08,0.04,N,O,1996-02-27,1996-04-01,1996-03-08,NONE,AIR,y express courts accor
2400356,136898,1925,4,12.00,23218.68,0.10,0.05,N,O,1996-04-10,1996-03-26,1996-04-20,DELIVER IN PERSON,SHIP,ording to the slyly ironic ideas. fl
2400357,128617,1130,1,41.00,67470.01,0.08,0.07,R,F,1993-08-25,1993-09-08,1993-09-20,TAKE BACK RETURN,TRUCK,eposits. qui
2400358,57295,2306,1,38.00,47587.02,0.06,0.01,N,O,1997-08-25,1997-10-12,1997-09-23,NONE,AIR,furiously final requests h
2400358,141286,1287,2,21.00,27872.88,0.04,0.00,N,O,1997-10-18,1997-10-28,1997-11-13,TAKE BACK RETURN,FOB,ly ironic packages 
2400358,190904,3424,3,7.00,13964.30,0.06,0.07,N,O,1997-12-19,1997-10-22,1997-12-26,DELIVER IN PERSON,MAIL,g the fluffily regular dep
2400358,115189,2723,4,4.00,4816.72,0.00,0.02,N,O,1997-10-31,1997-10-23,1997-11-02,NONE,REG AIR,ng the blithely final dep
2400358,175416,7934,5,37.00,55182.17,0.05,0.00,N,O,1997-11-14,1997-10-29,1997-12-04,NONE,RAIL,ronic packages eat after the quickly expres
2400358,3093,8094,6,42.00,41835.78,0.06,0.08,N,O,1997-09-13,1997-11-13,1997-09-22,NONE,FOB,ogged asymptotes. ironi
2400358,173612,3613,7,9.00,15170.49,0.04,0.08,N,O,1997-11-27,1997-10-13,1997-12-17,TAKE BACK RETURN,REG AIR," special, pending deposits."
2400359,84249,4250,1,7.00,8632.68,0.03,0.01,N,O,1996-03-09,1996-04-14,1996-03-14,COLLECT COD,REG AIR,kages sleep blithely! quickly 
2400359,158609,1125,2,36.00,60033.60,0.07,0.00,N,O,1996-05-22,1996-04-18,1996-05-29,DELIVER IN PERSON,RAIL,eas cajole ca
2400359,131532,1533,3,27.00,42215.31,0.00,0.00,N,O,1996-06-09,1996-05-06,1996-06-15,NONE,TRUCK,ns above the even packages nag after th
2400359,51526,1527,4,26.00,38415.52,0.09,0.04,N,O,1996-03-27,1996-03-19,1996-04-20,TAKE BACK RETURN,SHIP,eans haggle furiously
2400359,190221,2741,5,40.00,52448.80,0.09,0.03,N,O,1996-04-12,1996-04-22,1996-04-26,TAKE BACK RETURN,TRUCK,sts. slyly ironic requests affix care
2400384,188662,8663,1,1.00,1750.66,0.03,0.05,N,O,1998-04-23,1998-06-07,1998-04-27,DELIVER IN PERSON,SHIP,al requests wake around the dolphins. 
2400384,28230,733,2,39.00,45170.97,0.09,0.08,N,O,1998-04-19,1998-06-10,1998-05-18,TAKE BACK RETURN,MAIL,xpress instructions are! quickl
2400384,51764,4270,3,12.00,20589.12,0.04,0.03,N,O,1998-04-19,1998-06-20,1998-05-17,NONE,AIR,the furiously pending excus
2400384,184370,6889,4,28.00,40722.36,0.02,0.00,N,O,1998-05-30,1998-06-29,1998-06-11,DELIVER IN PERSON,RAIL,blithely. requests are quickly. iro
2400385,124007,1544,1,24.00,24744.00,0.03,0.05,A,F,1994-05-11,1994-06-21,1994-05-22,NONE,MAIL, quickly. quickly even packages abou
2400385,177710,5262,2,27.00,48268.17,0.00,0.08,R,F,1994-05-22,1994-05-13,1994-05-28,NONE,TRUCK,ut the packages. carefull
2400385,169032,1549,3,37.00,40738.11,0.06,0.03,A,F,1994-06-10,1994-06-24,1994-06-20,TAKE BACK RETURN,RAIL,ular packages. express requests use stealt
2400385,106250,8761,4,22.00,27637.50,0.09,0.03,R,F,1994-05-20,1994-05-22,1994-06-05,NONE,SHIP,special pinto
2400385,136708,6709,5,12.00,20936.40,0.02,0.06,R,F,1994-07-05,1994-06-21,1994-07-28,DELIVER IN PERSON,AIR,sual packages. quickly even foxes sleep
2400386,126113,3650,1,50.00,56955.50,0.08,0.04,A,F,1992-08-29,1992-10-15,1992-09-09,COLLECT COD,TRUCK,ording to the regular deposits.
2400387,38878,6388,1,41.00,74491.67,0.09,0.05,N,O,1996-02-14,1995-11-29,1996-02-27,DELIVER IN PERSON,MAIL,e slyly alongside of the
2400387,11704,6707,2,39.00,63012.30,0.05,0.04,N,O,1995-11-19,1995-11-20,1995-12-16,COLLECT COD,TRUCK,carefully re
2400387,94479,9498,3,21.00,30942.87,0.03,0.01,N,O,1995-10-29,1996-01-05,1995-10-31,COLLECT COD,TRUCK,the blithely even accounts. tithes a
2400388,78701,3716,1,20.00,33594.00,0.09,0.02,A,F,1993-09-15,1993-10-11,1993-09-26,COLLECT COD,RAIL,atelets. slyly express c
2400388,116653,1676,2,45.00,75134.25,0.01,0.04,A,F,1993-10-07,1993-10-29,1993-10-12,DELIVER IN PERSON,AIR,"foxes. even, final depos"
2400388,174089,6607,3,8.00,9304.64,0.08,0.03,R,F,1993-10-05,1993-11-05,1993-10-13,COLLECT COD,SHIP,ully express accounts. pendin
2400388,100731,732,4,3.00,5195.19,0.02,0.01,A,F,1993-11-22,1993-10-25,1993-11-30,TAKE BACK RETURN,FOB,en deposits. st
2400388,183779,1334,5,50.00,93138.50,0.03,0.06,A,F,1993-09-11,1993-10-18,1993-09-24,DELIVER IN PERSON,RAIL,nding requests. fluffily express 
2400388,164851,2400,6,41.00,78549.85,0.05,0.06,R,F,1993-10-29,1993-09-25,1993-11-25,DELIVER IN PERSON,SHIP,ully regular inst
2400388,37264,4774,7,41.00,49251.66,0.01,0.02,R,F,1993-08-29,1993-11-01,1993-09-07,TAKE BACK RETURN,SHIP,ctions haggle
2400389,89704,4721,1,1.00,1693.70,0.05,0.07,N,O,1997-08-20,1997-06-28,1997-09-03,TAKE BACK RETURN,SHIP,nts about the furiously fina
2400389,51337,3843,2,33.00,42514.89,0.08,0.05,N,O,1997-07-27,1997-07-23,1997-08-08,TAKE BACK RETURN,REG AIR,lly unusual ideas sleep regularly p
2400389,10120,121,3,38.00,39144.56,0.10,0.03,N,O,1997-07-26,1997-06-25,1997-08-14,TAKE BACK RETURN,REG AIR,. slyly final ideas solve careful
2400389,79913,7435,4,42.00,79502.22,0.06,0.07,N,O,1997-07-01,1997-07-01,1997-07-16,DELIVER IN PERSON,RAIL,ly final accounts kindle furiously carefu
2400390,15248,7750,1,1.00,1163.24,0.06,0.08,N,O,1997-01-18,1997-01-11,1997-02-09,NONE,MAIL,ermanent dolphins. slowly speci
2400390,70192,193,2,44.00,51136.36,0.07,0.00,N,O,1997-01-08,1997-02-03,1997-01-19,NONE,MAIL,yly final asymptotes wake
2400391,90401,2911,1,50.00,69570.00,0.04,0.01,R,F,1995-05-27,1995-05-08,1995-06-10,TAKE BACK RETURN,TRUCK,ld have to 
2400391,165264,5265,2,35.00,46524.10,0.10,0.08,N,F,1995-06-11,1995-05-05,1995-07-07,COLLECT COD,TRUCK,er the sly
2400391,185001,2556,3,6.00,6516.00,0.01,0.08,N,O,1995-07-10,1995-05-01,1995-07-15,NONE,TRUCK,"s. bold, busy pinto "
2400391,109139,6670,4,3.00,3444.39,0.03,0.03,N,F,1995-05-28,1995-06-15,1995-06-18,DELIVER IN PERSON,TRUCK,unts cajole 
2400391,88672,3689,5,14.00,23249.38,0.01,0.00,A,F,1995-04-03,1995-05-05,1995-04-23,NONE,MAIL,into beans. requests nod ca
2400391,109793,4814,6,40.00,72111.60,0.00,0.08,R,F,1995-04-10,1995-05-16,1995-04-30,COLLECT COD,RAIL,al foxes use
2400391,83757,6266,7,3.00,5222.25,0.00,0.06,R,F,1995-05-10,1995-04-19,1995-05-15,TAKE BACK RETURN,REG AIR,s. silent packages nag fluff
2400416,96679,9189,1,5.00,8378.35,0.01,0.00,N,O,1997-12-05,1997-12-01,1997-12-14,COLLECT COD,REG AIR,ld platelets. 
2400416,70865,866,2,8.00,14686.88,0.04,0.06,N,O,1997-11-13,1997-12-08,1997-12-01,COLLECT COD,SHIP,posits are about the fluffily c
2400416,26335,6336,3,9.00,11351.97,0.07,0.00,N,O,1997-12-19,1997-11-24,1997-12-26,TAKE BACK RETURN,MAIL,l theodolites ov
2400416,2506,2507,4,50.00,70425.00,0.08,0.03,N,O,1997-11-05,1997-10-27,1997-11-24,COLLECT COD,TRUCK,"oach. express, f"
2400416,107354,4885,5,17.00,23142.95,0.08,0.03,N,O,1997-10-11,1997-11-25,1997-11-08,COLLECT COD,TRUCK,sly ironic instructions. quickly iron
2400416,92390,7409,6,38.00,52530.82,0.00,0.02,N,O,1997-10-25,1997-12-08,1997-11-18,NONE,REG AIR,"ar notornis. final, regula"
2400417,53274,5780,1,36.00,44181.72,0.08,0.06,R,F,1993-10-11,1993-10-09,1993-11-07,TAKE BACK RETURN,RAIL,quests-- regular theod
2400417,163053,5570,2,23.00,25669.15,0.02,0.06,R,F,1993-10-07,1993-10-23,1993-10-11,NONE,RAIL,ost furious
2400418,42291,9804,1,13.00,16032.77,0.02,0.08,A,F,1993-09-02,1993-06-28,1993-09-30,COLLECT COD,FOB,ly. deposits alongside of the 
2400418,170837,8389,2,13.00,24801.79,0.07,0.01,R,F,1993-07-16,1993-08-07,1993-08-05,NONE,AIR,kly even packages. 
2400418,45501,3014,3,17.00,24590.50,0.07,0.08,R,F,1993-06-12,1993-07-29,1993-07-04,DELIVER IN PERSON,AIR,ideas boost abov
2400418,123339,5852,4,3.00,4086.99,0.09,0.08,A,F,1993-09-12,1993-07-15,1993-10-02,DELIVER IN PERSON,AIR,foxes grow instructions. carefu
2400419,104472,4473,1,17.00,25099.99,0.03,0.07,N,O,1995-07-07,1995-04-13,1995-07-28,COLLECT COD,RAIL,al packages. 
2400419,50035,7551,2,30.00,29550.90,0.03,0.06,N,F,1995-06-13,1995-04-23,1995-06-23,COLLECT COD,RAIL, among the accounts. quickly pending packag
2400419,137875,7876,3,17.00,32518.79,0.00,0.08,A,F,1995-03-16,1995-06-04,1995-04-09,TAKE BACK RETURN,MAIL, bold foxes are sl
2400420,42646,7655,1,4.00,6354.56,0.03,0.03,N,O,1998-04-22,1998-05-20,1998-05-19,DELIVER IN PERSON,TRUCK,ions. carefull
2400420,139882,2396,2,48.00,92250.24,0.06,0.00,N,O,1998-04-11,1998-06-12,1998-05-11,DELIVER IN PERSON,RAIL,e accounts. ironic asymptotes x-ray carefu
2400420,185605,8124,3,50.00,84530.00,0.01,0.04,N,O,1998-05-12,1998-06-01,1998-05-31,TAKE BACK RETURN,FOB,ly bold pack
2400421,71136,8658,1,7.00,7749.91,0.01,0.02,N,O,1996-03-17,1996-04-20,1996-03-28,DELIVER IN PERSON,FOB, requests cajole fluffily
2400421,171983,4501,2,36.00,73979.28,0.06,0.01,N,O,1996-03-05,1996-04-11,1996-03-10,NONE,FOB,gular dinos. furiously unusual instructi
2400422,31277,3781,1,50.00,60413.50,0.04,0.02,A,F,1994-12-06,1994-12-07,1994-12-30,NONE,TRUCK,structions play b
2400422,62852,371,2,35.00,63519.75,0.04,0.07,R,F,1995-01-29,1994-12-19,1995-01-31,DELIVER IN PERSON,AIR,e slyly. blithely special reque
2400422,141919,1920,3,9.00,17648.19,0.05,0.03,A,F,1994-12-19,1995-01-20,1995-01-13,NONE,REG AIR,ding platelets. carefully regular
2400422,24387,4388,4,32.00,41964.16,0.05,0.07,A,F,1995-01-15,1994-12-07,1995-01-26,NONE,RAIL,"ds. ironic, re"
2400422,61649,9168,5,2.00,3221.28,0.08,0.08,R,F,1994-11-04,1994-12-23,1994-11-06,NONE,AIR,y warhorses. express pinto bean
2400422,129823,4848,6,49.00,90788.18,0.02,0.02,A,F,1994-11-02,1994-12-10,1994-11-10,TAKE BACK RETURN,TRUCK,ajole blithely special accounts.
2400423,60582,3089,1,1.00,1542.58,0.04,0.00,R,F,1993-03-16,1993-01-25,1993-03-25,DELIVER IN PERSON,RAIL,believe ironic
2400448,30335,5342,1,20.00,25306.60,0.00,0.04,N,O,1996-05-22,1996-04-16,1996-06-14,DELIVER IN PERSON,FOB, about the re
2400448,33132,5636,2,48.00,51126.24,0.08,0.04,N,O,1996-03-24,1996-04-28,1996-04-22,DELIVER IN PERSON,FOB,ckages are along
2400449,189429,6984,1,28.00,42515.76,0.10,0.01,A,F,1992-08-22,1992-09-27,1992-08-30,NONE,AIR,ng packages are according to the
2400449,120857,5882,2,35.00,65724.75,0.02,0.00,A,F,1992-11-23,1992-10-25,1992-12-14,NONE,AIR,deposits. regular accounts enga
2400449,33074,5578,3,2.00,2014.14,0.04,0.07,R,F,1992-11-28,1992-10-05,1992-12-16,COLLECT COD,TRUCK,nic requests integrate slyly accounts. c
2400449,59871,7387,4,1.00,1830.87,0.07,0.03,A,F,1992-10-24,1992-10-11,1992-11-18,COLLECT COD,AIR,ndle carefully regular the
2400449,39712,9713,5,29.00,47899.59,0.08,0.00,R,F,1992-08-26,1992-10-15,1992-08-27,DELIVER IN PERSON,SHIP, haggle furiously alon
2400450,16316,3820,1,32.00,39433.92,0.10,0.05,N,O,1996-10-11,1996-11-20,1996-10-24,DELIVER IN PERSON,FOB, excuses use above the silen
2400451,63178,3179,1,14.00,15976.38,0.08,0.02,R,F,1992-08-31,1992-09-12,1992-09-24,DELIVER IN PERSON,AIR,above the regu
2400451,30082,83,2,7.00,7084.56,0.10,0.06,R,F,1992-09-26,1992-07-20,1992-10-07,DELIVER IN PERSON,TRUCK,lphins use regularly pendi
2400452,160656,657,1,27.00,46349.55,0.01,0.05,A,F,1993-09-09,1993-10-06,1993-09-25,TAKE BACK RETURN,TRUCK,to the blithely bold pinto beans. expr
2400452,140147,2662,2,23.00,27304.22,0.05,0.04,R,F,1993-09-19,1993-08-19,1993-09-30,DELIVER IN PERSON,TRUCK,e-- blithely car
2400452,47714,219,3,6.00,9970.26,0.05,0.05,A,F,1993-09-19,1993-09-07,1993-09-23,DELIVER IN PERSON,REG AIR,"iously unusual theodolites haggle pending,"
2400452,126920,1945,4,16.00,31150.72,0.06,0.04,R,F,1993-08-19,1993-08-19,1993-09-07,DELIVER IN PERSON,FOB,ing realms. blithely pending theodolite
2400452,135801,5802,5,9.00,16531.20,0.08,0.04,A,F,1993-10-05,1993-08-24,1993-10-20,NONE,REG AIR,e requests
2400453,179919,2437,1,16.00,31982.56,0.02,0.02,A,F,1995-01-02,1995-01-12,1995-01-31,COLLECT COD,MAIL, sleep arou
2400453,85973,8482,2,37.00,72481.89,0.07,0.01,A,F,1994-11-20,1995-01-11,1994-12-12,TAKE BACK RETURN,AIR,ular packages cajole car
2400453,138178,692,3,17.00,20674.89,0.10,0.02,A,F,1994-12-03,1994-12-20,1994-12-23,DELIVER IN PERSON,AIR, sometimes after the blit
2400453,152999,5515,4,23.00,47195.77,0.08,0.06,R,F,1995-02-21,1994-12-23,1995-03-09,TAKE BACK RETURN,RAIL,"asymptotes sleep furiously unusual, s"
2400453,52451,2452,5,6.00,8420.70,0.06,0.08,R,F,1995-02-01,1995-01-14,1995-02-24,DELIVER IN PERSON,SHIP,he regular pinto b
2400453,127319,4856,6,28.00,37696.68,0.03,0.02,A,F,1995-01-06,1995-01-05,1995-01-31,COLLECT COD,TRUCK,osits. platelets wake furiously pen
2400453,40066,67,7,21.00,21127.26,0.09,0.08,A,F,1994-12-15,1995-01-15,1995-01-09,NONE,MAIL,quests. sauternes ca
2400454,185586,623,1,41.00,68534.78,0.06,0.08,R,F,1994-05-12,1994-07-14,1994-06-11,COLLECT COD,FOB,xes haggle against the accou
2400454,129889,4914,2,20.00,38377.60,0.05,0.01,A,F,1994-06-25,1994-05-23,1994-07-24,TAKE BACK RETURN,MAIL,quests haggle. plat
2400454,40908,8421,3,45.00,83200.50,0.06,0.01,R,F,1994-08-13,1994-06-13,1994-08-19,TAKE BACK RETURN,TRUCK,e fluffily packages. closely final 
2400454,127275,4812,4,31.00,40370.37,0.04,0.04,R,F,1994-06-29,1994-07-03,1994-07-05,NONE,SHIP,", express deposits. regularly ironic theodo"
2400454,94958,7468,5,13.00,25388.35,0.00,0.01,A,F,1994-04-27,1994-06-11,1994-05-08,COLLECT COD,AIR,fully pending deposits s
2400454,156773,9289,6,37.00,67701.49,0.10,0.01,A,F,1994-07-06,1994-07-09,1994-07-07,DELIVER IN PERSON,RAIL,"nly. special, even foxes p"
2400454,76311,1326,7,50.00,64365.50,0.02,0.07,A,F,1994-05-12,1994-07-19,1994-06-01,TAKE BACK RETURN,AIR,"ep. unusual, special foxes are caref"
2400455,146828,1857,1,18.00,33746.76,0.09,0.01,N,O,1998-08-01,1998-08-22,1998-08-07,NONE,REG AIR,fully ironic i
2400455,128990,8991,2,16.00,32303.84,0.05,0.02,N,O,1998-08-14,1998-10-01,1998-09-07,COLLECT COD,REG AIR,ding to the regular foxes are express inst
2400455,129416,1929,3,12.00,17344.92,0.08,0.04,N,O,1998-08-25,1998-09-02,1998-08-30,COLLECT COD,REG AIR,. furiously careful requests ha
2400455,83495,3496,4,20.00,29569.80,0.03,0.05,N,O,1998-10-12,1998-10-02,1998-10-14,COLLECT COD,RAIL,", regular depos"
2400455,96714,4242,5,45.00,76981.95,0.05,0.06,N,O,1998-07-25,1998-10-04,1998-08-10,DELIVER IN PERSON,AIR,ronic accounts 
2400455,68370,8371,6,25.00,33459.25,0.04,0.03,N,O,1998-09-20,1998-09-21,1998-09-26,TAKE BACK RETURN,TRUCK,arefully unusual instructions. pendin
2400455,78771,3786,7,2.00,3499.54,0.08,0.00,N,O,1998-11-14,1998-08-25,1998-11-22,COLLECT COD,SHIP,uests according to the slyly 
2400480,90829,8357,1,25.00,45495.50,0.04,0.04,N,O,1995-08-17,1995-09-15,1995-09-08,COLLECT COD,FOB,"ess, ironic accounts. furiously pending "
2400480,151676,1677,2,13.00,22459.71,0.09,0.08,N,O,1995-09-05,1995-09-30,1995-09-29,TAKE BACK RETURN,SHIP,r deposits haggle fur
2400480,7131,4632,3,22.00,22838.86,0.01,0.06,N,O,1995-10-02,1995-08-24,1995-10-21,COLLECT COD,REG AIR,fily ironic th
2400480,37501,5011,4,32.00,46032.00,0.02,0.01,N,O,1995-07-28,1995-08-18,1995-08-15,TAKE BACK RETURN,RAIL,sits. furiously close deposits boost
2400481,102852,7873,1,30.00,55645.50,0.09,0.00,R,F,1994-11-02,1994-10-01,1994-11-30,TAKE BACK RETURN,SHIP,es. express reques
2400481,27154,2159,2,5.00,5405.75,0.10,0.03,A,F,1994-08-18,1994-10-10,1994-09-17,DELIVER IN PERSON,MAIL,ously bold foxes wake. furiously even depos
2400481,172644,7679,3,13.00,22316.32,0.05,0.02,A,F,1994-11-06,1994-10-03,1994-11-23,NONE,FOB,ests wake quickly across the slyly exp
2400481,21161,6166,4,10.00,10821.60,0.00,0.03,R,F,1994-10-12,1994-09-23,1994-10-31,TAKE BACK RETURN,REG AIR,ts. furiously ironic dependencies hagg
2400481,50069,5080,5,26.00,26495.56,0.08,0.04,R,F,1994-11-10,1994-09-27,1994-11-21,NONE,REG AIR,und the pinto beans. blithely final r
2400481,99364,4383,6,5.00,6816.80,0.09,0.06,R,F,1994-08-24,1994-10-01,1994-09-14,COLLECT COD,MAIL,egular requests maintain frays.
2400481,6761,6762,7,19.00,31687.44,0.02,0.03,A,F,1994-11-01,1994-09-15,1994-11-25,TAKE BACK RETURN,FOB,ously special instru
2400482,23067,5570,1,5.00,4950.30,0.05,0.02,N,O,1998-10-01,1998-09-24,1998-10-15,NONE,SHIP,ets. quickly regular id
2400482,72277,4785,2,33.00,41225.91,0.04,0.06,N,O,1998-08-13,1998-09-24,1998-08-29,NONE,TRUCK,"refully quick, regular frays. furiousl"
2400482,151037,8583,3,18.00,19584.54,0.08,0.00,N,O,1998-09-20,1998-09-24,1998-10-17,DELIVER IN PERSON,FOB,"ies haggle final, express packag"
2400482,75342,7850,4,30.00,39520.20,0.10,0.07,N,O,1998-07-13,1998-09-11,1998-07-18,NONE,RAIL,l excuses. carefully fina
2400482,71192,8714,5,9.00,10468.71,0.00,0.06,N,O,1998-08-07,1998-08-26,1998-08-13,TAKE BACK RETURN,AIR,final requests nag blith
2400482,112761,295,6,23.00,40796.48,0.01,0.00,N,O,1998-10-03,1998-08-25,1998-10-18,NONE,REG AIR,"ctions integrate ironic, iron"
